date,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Target
1/2/2012,13.11,91,'189.51',,13.98,2245907,,111.2261528,
1/3/2012,13.07,96,'189.48',,13.99,2282028,13.4953,111.7214375,416.83
1/4/2012,13.04,97,'189.48',,13.99,2287919,13.5303,111.2722017,417.91
1/5/2012,13.03,100,'189.48',,13.99,2300181,13.5992,114.1168966,420.04
1/6/2012,13.04,93,'189.48',,13.99,2303162,13.6141,113.592208,420.5
1/9/2012,12.98,91,'189.48',,13.99,2298549,13.5792,115.5008986,419.42
1/10/2012,12.98,96,'189.48',,13.99,2309076,13.6413,116.7572884,421.34
1/11/2012,12.97,100,'189.48',,13.99,2313467,13.6692,116.3388042,422.2
1/12/2012,12.79,94,'189.48',,13.99,2322967,13.7229,115.8359586,423.86
1/13/2012,12.77,97,'189.48',,13.99,2307216,13.6251,114.2098328,420.84
1/16/2012,12.79,97,'189.48',,13.99,2307216,,112.962575,
1/17/2012,12.79,90,'189.48',,13.99,2322642,13.7158,114.667496,423.64
1/18/2012,12.77,96,'189.48',,13.99,2360250,13.9395,116.4601391,430.55
1/19/2012,12.75,92,'189.48',,13.99,2376601,14.0334,116.8553494,433.45
1/20/2012,12.68,93,'189.48',,13.99,2383292,14.0671,117.9902782,434.49
1/23/2012,12.68,92,'189.48',,13.99,2391650,14.1205,117.3292247,436.14
1/24/2012,12.65,93,'189.48',,13.99,2393899,14.1347,118.391021,436.58
1/25/2012,12.85,93,'189.48',,13.99,2416927,14.2733,118.2523013,440.86
1/26/2012,12.85,96,'189.48',,13.99,2402459,14.1862,117.2653426,438.17
1/27/2012,12.86,100,'189.53',,13.99,2405668,14.2086,119.9062378,438.73
1/30/2012,12.82,98,'189.72',,13.97,2410404,14.2168,121.399035,440.19
1/31/2012,12.76,95,'189.92',,14.01,2414112,14.3186,120.1223436,441.01
2/1/2012,12.75,100,'189.92',,14.01,2437904,14.4517,118.6133511,445.11
